test_index,true_label,prediction,model_score
89,1,0,-0.2582069092220449
273,1,0,-0.4051269087705941
457,1,0,-0.9666646620784034
572,1,0,-0.22974904427775777
623,1,0,-0.34980209806191487
632,1,0,-0.25570797254046357
807,1,0,-0.3426771523066212
929,1,0,-0.38081740095064837
1227,1,0,-0.3641907443082867
1313,1,0,-0.9507829486093624
1383,1,0,-1.0878791084160293
1427,1,0,-0.04701437238702211
1485,1,0,-0.08246408199411137
1826,1,0,-0.7660069456774974
1859,1,0,-0.09096593460190155
2142,1,0,-0.3641907443082867
2149,1,0,-0.4475037564462935
2168,1,0,-0.49442082027469436
2252,1,0,-0.35364260126499486
2281,1,0,-0.459273357697304
2475,1,0,-0.17443376213933842
2550,1,0,-0.791765084552061
2573,1,0,-0.9154400139435455
2608,1,0,-0.7533805924871715
2682,1,0,-1.5002638251211486
2895,1,0,-0.495949905618754
3352,1,0,-0.14107930392613838
3366,1,0,-0.30089431676263817
3375,1,0,-0.44927304106964583
3412,1,0,-0.8853449675904101
3484,1,0,-0.055523889215358224
