threshold,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives
-1.0,0.24351585014409222,0.9883040935672515,0.39075144508670523,2831,525,2,169
-0.75,0.4462809917355372,0.9473684210526315,0.6067415730337079,3155,201,9,162
-0.5,0.6639344262295082,0.9473684210526315,0.7807228915662651,3274,82,9,162
-0.25,0.8305084745762712,0.8596491228070176,0.8448275862068966,3326,30,24,147
0.0,0.8974358974358975,0.8187134502923976,0.8562691131498471,3340,16,31,140
0.25,0.9432624113475178,0.7777777777777778,0.8525641025641025,3348,8,38,133
0.5,0.9603174603174603,0.7076023391812866,0.8148148148148148,3351,5,50,121
0.75,0.963963963963964,0.6257309941520468,0.7588652482269503,3352,4,64,107
1.0,0.9726027397260274,0.4152046783625731,0.5819672131147541,3354,2,100,71
1.25,1.0,0.1111111111111111,0.2,3356,0,152,19
